,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Počet
platných
hlasov
spolu",Platné hlasy (počet / podiel),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zelení,KDH,SDĽ,SNS,OĽaNO,SaS,PaS,NÁŠ KRAJ,SZ,ĽSNS,SMER - SD,"Zmena zdola, DÚ",NaS - ns,KSS,SRÚS,MOST - HÍD,99%,ĽS - HZDS,+1 HLAS,SF,Obyčajní ľudia,SDKÚ - DS,SOSKA,SMK - MKP,SSS - NM,SŽS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"0,00","0,67","0,67","0,00","1,67","2,01","0,67","0,00","0,00","0,33","4,69","0,33","0,00","0,00","0,00","20,46","0,67","0,00","0,33","0,33","0,00","4,02","0,33","62,75","0,00","0,00"
Pribeta,,1 379,0,4,1,7,37,20,4,0,2,3,99,1,3,6,1,568,16,0,0,1,0,19,0,578,7,2
,,,"0,00","0,29","0,07","0,50","2,68","1,45","0,29","0,00","0,14","0,21","7,17","0,07","0,21","0,43","0,07","41,18","1,16","0,00","0,00","0,07","0,00","1,37","0,00","41,91","0,50","0,14"
Radvaň nad Dunajom,,406,1,1,1,3,5,2,0,0,0,1,12,3,0,0,0,130,4,2,0,0,0,1,0,240,0,0
,,,"0,24","0,24","0,24","0,73","1,23","0,49","0,00","0,00","0,00","0,24","2,95","0,73","0,00","0,00","0,00","32,01","0,98","0,49","0,00","0,00","0,00","0,24","0,00","59,11","0,00","0,00"
Sokolce,,570,0,4,0,0,3,1,0,0,0,1,18,2,0,0,1,229,1,0,0,0,0,4,0,304,2,0
,,,"0,00","0,70","0,00","0,00","0,52","0,17","0,00","0,00","0,00","0,17","3,15","0,35","0,00","0,00","0,17","40,17","0,17","0,00","0,00","0,00","0,00","0,70","0,00","53,33","0,35","0,00"
Svätý Peter,,1 327,1,18,0,10,32,13,2,1,3,1,146,2,1,1,0,447,7,2,1,2,1,21,1,609,4,1
,,,"0,07","1,35","0,00","0,75","2,41","0,97","0,15","0,07","0,22","0,07","11,00","0,15","0,07","0,07","0,00","33,68","0,52","0,15","0,07","0,15","0,07","1,58","0,07","45,89","0,30","0,07"
Šrobárová,,276,0,21,0,42,16,9,1,0,0,2,154,2,1,0,0,9,8,6,0,0,0,2,0,0,3,0
,,,"0,00","7,60","0,00","15,21","5,79","3,26","0,36","0,00","0,00","0,72","55,79","0,72","0,36","0,00","0,00","3,26","2,89","2,17","0,00","0,00","0,00","0,72","0,00","0,00","1,08","0,00"
Tôň,,401,4,0,0,4,3,0,0,0,1,0,33,0,0,1,0,182,1,1,0,0,0,0,0,171,0,0
,,,"0,99","0,00","0,00","0,99","0,74","0,00","0,00","0,00","0,24","0,00","8,22","0,00","0,00","0,24","0,00","45,38","0,24","0,24","0,00","0,00","0,00","0,00","0,00","42,64","0,00","0,00"
Trávnik,,304,0,2,0,0,2,2,0,0,0,0,25,1,0,2,0,113,3,2,0,0,0,5,0,147,0,0
,,,"0,00","0,65","0,00","0,00","0,65","0,65","0,00","0,00","0,00","0,00","8,22","0,32","0,00","0,65","0,00","37,17","0,98","0,65","0,00","0,00","0,00","1,64","0,00","48,35","0,00","0,00"
Veľké Kosihy,,525,1,1,0,2,1,1,0,0,0,0,26,4,0,2,0,344,4,1,0,0,0,5,1,131,1,0
,,,"0,19","0,19","0,00","0,38","0,19","0,19","0,00","0,00","0,00","0,00","4,95","0,76","0,00","0,38","0,00","65,52","0,76","0,19","0,00","0,00","0,00","0,95","0,19","24,95","0,19","0,00"
Virt,,139,0,1,2,3,3,0,0,0,0,1,28,0,0,0,0,38,4,5,0,0,0,2,0,50,2,0
,,,"0,00","0,71","1,43","2,15","2,15","0,00","0,00","0,00","0,00","0,71","20,14","0,00","0,00","0,00","0,00","27,33","2,87","3,59","0,00","0,00","0,00","1,43","0,00","35,97","1,43","0,00"
Vrbová nad Váhom,,227,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,86,0,1,0,0,0,1,0,130,0,0
,,,"0,44","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","3,52","0,00","0,00","0,00","0,00","37,88","0,00","0,44","0,00","0,00","0,00","0,44","0,00","57,26","0,00","0,00"
Zemianska Olča,,965,3,4,0,3,14,8,0,0,0,0,42,3,2,2,0,353,3,1,0,0,1,5,0,520,1,0
,,,"0,31","0,41","0,00","0,31","1,45","0,82","0,00","0,00","0,00","0,00","4,35","0,31","0,20","0,20","0,00","36,58","0,31","0,10","0,00","0,00","0,10","0,51","0,00","53,88","0,10","0,00"
Zlatná na Ostrove,,912,6,6,0,3,10,8,0,0,1,2,47,1,0,0,0,281,5,6,0,1,1,2,1,529,1,1
,,,"0,65","0,65","0,00","0,32","1,09","0,87","0,00","0,00","0,10","0,21","5,15","0,10","0,00","0,00","0,00","30,81","0,54","0,65","0,00","0,10","0,10","0,21","0,10","58,00","0,10","0,10"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obvod Komárno,,44 748,105,704,32,600,1 143,1 213,58,7,94,118,5 484,203,58,145,12,13 947,485,133,9,84,24,1 156,22,18 694,191,27
,,,"0,23","1,57","0,07","1,34","2,55","2,71","0,12","0,01","0,21","0,26","12,25","0,45","0,12","0,32","0,02","31,16","1,08","0,29","0,02","0,18","0,05","2,58","0,04","41,77","0,42","0,06"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Počet
platných
hlasov
spolu",Platné hlasy (počet / podiel),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zelení,KDH,SDĽ,SNS,OĽaNO,SaS,PaS,NÁŠ KRAJ,SZ,ĽSNS,SMER - SD,"Zmena zdola, DÚ",NaS - ns,KSS,SRÚS,MOST - HÍD,99%,ĽS - HZDS,+1 HLAS,SF,Obyčajní ľudia,SDKÚ - DS,SOSKA,SMK - MKP,SSS - NM,SŽS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajka,,96,4,1,0,2,2,1,1,0,0,1,45,0,0,2,3,24,5,1,0,0,0,1,0,3,0,0
,,,"4,16","1,04","0,00","2,08","2,08","1,04","1,04","0,00","0,00","1,04","46,87","0,00","0,00","2,08","3,12","25,00","5,20","1,04","0,00","0,00","0,00","1,04","0,00","3,12","0,00","0,00"
Bátovce,,480,0,29,0,16,41,21,2,0,1,21,263,4,4,6,0,10,17,8,0,1,0,28,1,0,7,0
,,,"0,00","6,04","0,00","3,33","8,54","4,37","0,41","0,00","0,20","4,37","54,79","0,83","0,83","1,25","0,00","2,08","3,54","1,66","0,00","0,20","0,00","5,83","0,20","0,00","1,45","0,00"
Beša,,280,2,8,0,6,12,4,3,0,2,2,91,0,2,3,1,78,1,2,0,0,0,5,0,55,1,2
,,,"0,71","2,85","0,00","2,14","4,28","1,42","1,07","0,00","0,71","0,71","32,50","0,00","0,71","1,07","0,35","27,85","0,35","0,71","0,00","0,00","0,00","1,78","0,00","19,64","0,35","0,71"
Bielovce,,100,0,0,0,2,3,1,0,0,1,0,9,0,2,0,0,22,0,1,0,1,0,1,0,57,0,0
,,,"0,00","0,00","0,00","2,00","3,00","1,00","0,00","0,00","1,00","0,00","9,00","0,00","2,00","0,00","0,00","22,00","0,00","1,00","0,00","1,00","0,00","1,00","0,00","57,00","0,00","0,00"
Bohunice,,83,1,1,1,3,13,1,2,0,0,2,54,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0
,,,"1,20","1,20","1,20","3,61","15,66","1,20","2,40","0,00","0,00","2,40","65,06","0,00","1,20","1,20","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,20","0,00","0,00","2,40","0,00"
Bory,,117,1,3,0,1,5,4,0,0,0,3,31,0,0,0,0,28,2,1,0,1,0,11,0,22,4,0
,,,"0,85","2,56","0,00","0,85","4,27","3,41","0,00","0,00","0,00","2,56","26,49","0,00","0,00","0,00","0,00","23,93","1,70","0,85","0,00","0,85","0,00","9,40","0,00","18,80","3,41","0,00"
Brhlovce,,175,0,18,1,11,11,6,1,0,1,2,110,0,1,2,0,3,5,0,0,0,0,2,0,0,0,1
,,,"0,00","10,28","0,57","6,28","6,28","3,42","0,57","0,00","0,57","1,14","62,85","0,00","0,57","1,14","0,00","1,71","2,85","0,00","0,00","0,00","0,00","1,14","0,00","0,00","0,00","0,57"
Čajkov,,589,1,129,2,37,29,28,0,1,0,13,302,3,3,5,0,3,5,4,0,0,0,21,0,0,3,0
,,,"0,16","21,90","0,33","6,28","4,92","4,75","0,00","0,16","0,00","2,20","51,27","0,50","0,50","0,84","0,00","0,50","0,84","0,67","0,00","0,00","0,00","3,56","0,00","0,00","0,50","0,00"
Čaka,,381,4,51,0,36,20,2,4,0,4,6,221,1,1,2,0,13,5,2,0,1,0,5,0,1,0,2
,,,"1,04","13,38","0,00","9,44","5,24","0,52","1,04","0,00","1,04","1,57","58,00","0,26","0,26","0,52","0,00","3,41","1,31","0,52","0,00","0,26","0,00","1,31","0,00","0,26","0,00","0,52"
Čata,,524,0,5,0,4,16,8,1,1,0,1,70,0,3,7,0,142,13,1,0,0,0,2,0,249,0,1
,,,"0,00","0,95","0,00","0,76","3,05","1,52","0,19","0,19","0,00","0,19","13,35","0,00","0,57","1,33","0,00","27,09","2,48","0,19","0,00","0,00","0,00","0,38","0,00","47,51","0,00","0,19"
Demandice,,445,2,28,1,9,67,32,0,0,6,4,102,7,0,7,0,77,17,3,0,1,1,33,1,45,2,0
,,,"0,44","6,29","0,22","2,02","15,05","7,19","0,00","0,00","1,34","0,89","22,92","1,57","0,00","1,57","0,00","17,30","3,82","0,67","0,00","0,22","0,22","7,41","0,22","10,11","0,44","0,00"
Devičany,,238,0,5,0,16,21,10,2,0,0,9,146,2,1,7,0,2,2,2,0,0,1,11,0,0,1,0
,,,"0,00","2,10","0,00","6,72","8,82","4,20","0,84","0,00","0,00","3,78","61,34","0,84","0,42","2,94","0,00","0,84","0,84","0,84","0,00","0,00","0,42","4,62","0,00","0,00","0,42","0,00"
Dolná Seč,,194,1,14,3,5,24,10,1,0,2,3,86,3,0,1,0,18,5,0,0,0,0,11,0,7,0,0
,,,"0,51","7,21","1,54","2,57","12,37","5,15","0,51","0,00","1,03","1,54","44,32","1,54","0,00","0,51","0,00","9,27","2,57","0,00","0,00","0,00","0,00","5,67","0,00","3,60","0,00","0,00"
Dolné Semerovce,,175,0,0,0,0,4,0,0,0,0,2,59,0,0,1,0,29,0,2,0,0,0,0,0,78,0,0
,,,"0,00","0,00","0,00","0,00","2,28","0,00","0,00","0,00","0,00","1,14","33,71","0,00","0,00","0,57","0,00","16,57","0,00","1,14","0,00","0,00","0,00","0,00","0,00","44,57","0,00","0,00"
Dolný Pial,,423,1,47,0,17,28,13,2,0,2,10,228,6,1,3,0,14,15,1,0,3,1,22,0,3,4,2
,,,"0,23","11,11","0,00","4,01","6,61","3,07","0,47","0,00","0,47","2,36","53,90","1,41","0,23","0,70","0,00","3,30","3,54","0,23","0,00","0,70","0,23","5,20","0,00","0,70","0,94","0,47"
Domadice,,101,2,17,1,3,5,4,1,0,0,1,48,2,0,3,0,5,2,0,0,0,0,4,0,3,0,0
,,,"1,98","16,83","0,99","2,97","4,95","3,96","0,99","0,00","0,00","0,99","47,52","1,98","0,00","2,97","0,00","4,95","1,98","0,00","0,00","0,00","0,00","3,96","0,00","2,97","0,00","0,00"
Drženice,,206,0,26,0,10,11,9,1,1,0,3,119,1,5,2,0,4,1,4,0,1,0,8,0,0,0,0
,,,"0,00","12,62","0,00","4,85","5,33","4,36","0,48","0,48","0,00","1,45","57,76","0,48","2,42","0,97","0,00","1,94","0,48","1,94","0,00","0,48","0,00","3,88","0,00","0,00","0,00","0,00"
Farná,,633,1,4,1,2,12,2,3,1,1,0,58,1,0,3,0,192,5,2,0,0,2,6,0,336,1,0
,,,"0,15","0,63","0,15","0,31","1,89","0,31","0,47","0,15","0,15","0,00","9,16","0,15","0,00","0,47","0,00","30,33","0,78","0,31","0,00","0,00","0,31","0,94","0,00","53,08","0,15","0,00"
Hokovce,,252,0,13,4,1,9,6,2,0,0,0,72,4,0,0,0,76,7,0,0,1,0,5,0,50,2,0
,,,"0,00","5,15","1,58","0,39","3,57","2,38","0,79","0,00","0,00","0,00","28,57","1,58","0,00","0,00","0,00","30,15","2,77","0,00","0,00","0,39","0,00","1,98","0,00","19,84","0,79","0,00"
Hontianska Vrbica,,195,0,5,2,3,15,13,0,0,0,0,54,2,0,1,0,47,6,1,1,0,0,11,0,32,2,0
,,,"0,00","2,56","1,02","1,53","7,69","6,66","0,00","0,00","0,00","0,00","27,69","1,02","0,00","0,51","0,00","24,10","3,07","0,51","0,51","0,00","0,00","5,64","0,00","16,41","1,02","0,00"
Hontianske Trsťany,,190,0,41,0,9,10,6,0,0,0,4,108,1,3,1,0,1,3,1,0,1,0,1,0,0,0,0
,,,"0,00","21,57","0,00","4,73","5,26","3,15","0,00","0,00","0,00","2,10","56,84","0,52","1,57","0,52","0,00","0,52","1,57","0,52","0,00","0,52","0,00","0,52","0,00","0,00","0,00","0,00"
Horná Seč,,297,0,23,1,7,37,18,0,0,2,7,69,0,0,1,0,52,4,0,0,0,0,44,1,30,1,0
,,,"0,00","7,74","0,33","2,35","12,45","6,06","0,00","0,00","0,67","2,35","23,23","0,00","0,00","0,33","0,00","17,50","1,34","0,00","0,00","0,00","0,00","14,81","0,33","10,10","0,33","0,00"
Horné Semerovce,,250,1,8,1,2,15,4,1,0,0,4,37,5,0,0,0,116,8,1,0,1,1,6,1,35,2,1
,,,"0,40","3,20","0,40","0,80","6,00","1,60","0,40","0,00","0,00","1,60","14,80","2,00","0,00","0,00","0,00","46,40","3,20","0,40","0,00","0,40","0,40","2,40","0,40","14,00","0,80","0,40"
Horné Turovce,,267,1,4,0,4,17,2,0,0,0,1,29,2,0,3,0,87,0,1,0,0,0,2,0,114,0,0
,,,"0,37","1,49","0,00","1,49","6,36","0,74","0,00","0,00","0,00","0,37","10,86","0,74","0,00","1,12","0,00","32,58","0,00","0,37","0,00","0,00","0,00","0,74","0,00","42,69","0,00","0,00"
Horný Pial,,144,0,5,0,3,8,4,0,0,0,0,22,3,0,3,2,40,4,1,0,1,0,5,0,42,0,1
,,,"0,00","3,47","0,00","2,08","5,55","2,77","0,00","0,00","0,00","0,00","15,27","2,08","0,00","2,08","1,38","27,77","2,77","0,69","0,00","0,69","0,00","3,47","0,00","29,16","0,00","0,69"
Hrkovce,,151,1,3,0,6,8,6,0,0,0,1,23,0,0,2,0,51,3,0,0,2,0,5,0,39,1,0
,,,"0,66","1,98","0,00","3,97","5,29","3,97","0,00","0,00","0,00","0,66","15,23","0,00","0,00","1,32","0,00","33,77","1,98","0,00","0,00","1,32","0,00","3,31","0,00","25,82","0,66","0,00"
Hronovce,,620,6,11,0,10,44,16,2,1,2,4,124,1,0,6,0,254,4,6,0,3,1,12,0,113,0,0
,,,"0,96","1,77","0,00","1,61","7,09","2,58","0,32","0,16","0,32","0,64","20,00","0,16","0,00","0,96","0,00","40,96","0,64","0,96","0,00","0,48","0,16","1,93","0,00","18,22","0,00","0,00"
Hronské Kľačany,,785,5,158,1,46,70,22,1,0,7,29,351,3,1,3,0,13,7,11,0,6,0,41,2,1,6,1
,,,"0,63","20,12","0,12","5,85","8,91","2,80","0,12","0,00","0,89","3,69","44,71","0,38","0,12","0,38","0,00","1,65","0,89","1,40","0,00","0,76","0,00","5,22","0,25","0,12","0,76","0,12"
Hronské Kosihy,,305,1,39,1,13,37,9,0,0,0,5,167,1,1,0,0,3,5,3,0,1,0,18,0,0,1,0
,,,"0,32","12,78","0,32","4,26","12,13","2,95","0,00","0,00","0,00","1,63","54,75","0,32","0,32","0,00","0,00","0,98","1,63","0,98","0,00","0,32","0,00","5,90","0,00","0,00","0,32","0,00"
Iňa,,127,0,11,2,1,2,2,1,1,0,0,59,2,0,1,0,4,3,26,0,0,0,9,0,2,1,0
,,,"0,00","8,66","1,57","0,78","1,57","1,57","0,78","0,78","0,00","0,00","46,45","1,57","0,00","0,78","0,00","3,14","2,36","20,47","0,00","0,00","0,00","7,08","0,00","1,57","0,78","0,00"
Ipeľské Úľany,,184,0,8,0,0,4,4,0,0,1,1,13,1,0,0,0,18,2,0,0,1,0,1,0,130,0,0
,,,"0,00","4,34","0,00","0,00","2,17","2,17","0,00","0,00","0,54","0,54","7,06","0,54","0,00","0,00","0,00","9,78","1,08","0,00","0,00","0,54","0,00","0,54","0,00","70,65","0,00","0,00"
Ipeľský Sokolec,,344,1,4,0,2,3,2,0,0,0,1,41,1,0,1,2,162,1,1,0,0,0,3,0,118,1,0
,,,"0,29","1,16","0,00","0,58","0,87","0,58","0,00","0,00","0,00","0,29","11,91","0,29","0,00","0,29","0,58","47,09","0,29","0,29","0,00","0,00","0,00","0,87","0,00","34,30","0,29","0,00"
Jabloňovce,,129,0,2,0,15,6,4,2,0,0,2,86,1,1,0,0,1,5,0,0,1,1,1,0,0,1,0
,,,"0,00","1,55","0,00","11,62","4,65","3,10","1,55","0,00","0,00","1,55","66,66","0,77","0,77","0,00","0,00","0,77","3,87","0,00","0,00","0,77","0,77","0,77","0,00","0,00","0,77","0,00"
Jesenské,,27,0,0,0,5,1,1,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,"0,00","0,00","0,00","18,51","3,70","3,70","0,00","0,00","0,00","0,00","70,37","0,00","0,00","3,70","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Jur nad Hronom,,460,4,13,0,10,35,12,2,0,2,3,128,19,1,2,0,116,12,3,0,0,3,17,1,77,0,0
,,,"0,86","2,82","0,00","2,17","7,60","2,60","0,43","0,00","0,43","0,65","27,82","4,13","0,21","0,43","0,00","25,21","2,60","0,65","0,00","0,00","0,65","3,69","0,21","16,73","0,00","0,00"
Kalná nad Hronom,,931,5,31,3,30,115,48,6,2,6,18,320,13,1,16,3,126,13,12,0,5,2,42,2,85,24,3
,,,"0,53","3,32","0,32","3,22","12,35","5,15","0,64","0,21","0,64","1,93","34,37","1,39","0,10","1,71","0,32","13,53","1,39","1,28","0,00","0,53","0,21","4,51","0,21","9,12","2,57","0,32"
Keť,,399,1,1,0,0,1,0,0,0,0,0,10,7,0,0,0,115,2,0,0,0,1,1,0,258,1,1
,,,"0,25","0,25","0,00","0,00","0,25","0,00","0,00","0,00","0,00","0,00","2,50","1,75","0,00","0,00","0,00","28,82","0,50","0,00","0,00","0,00","0,25","0,25","0,00","64,66","0,25","0,25"
Kozárovce,,1 001,0,97,1,56,92,46,4,0,6,45,533,7,9,4,0,11,8,17,1,4,0,48,1,1,9,1
,,,"0,00","9,69","0,09","5,59","9,19","4,59","0,39","0,00","0,59","4,49","53,24","0,69","0,89","0,39","0,00","1,09","0,79","1,69","0,09","0,39","0,00","4,79","0,09","0,09","0,89","0,09"
Krškany,,360,2,88,1,9,21,25,0,0,2,15,162,4,1,1,0,4,0,4,0,2,3,12,0,0,3,1
,,,"0,55","24,44","0,27","2,50","5,83","6,94","0,00","0,00","0,55","4,16","45,00","1,11","0,27","0,27","0,00","1,11","0,00","1,11","0,00","0,55","0,83","3,33","0,00","0,00","0,83","0,27"
Kubáňovo,,149,0,4,0,1,4,1,0,0,0,2,12,0,0,3,0,51,0,0,0,0,0,3,0,66,2,0
,,,"0,00","2,68","0,00","0,67","2,68","0,67","0,00","0,00","0,00","1,34","8,05","0,00","0,00","2,01","0,00","34,22","0,00","0,00","0,00","0,00","0,00","2,01","0,00","44,29","1,34","0,00"
Kukučínov,,221,4,4,1,3,5,4,0,0,1,0,94,4,2,4,0,62,6,2,0,0,2,4,1,10,4,4
,,,"1,80","1,80","0,45","1,35","2,26","1,80","0,00","0,00","0,45","0,00","42,53","1,80","0,90","1,80","0,00","28,05","2,71","0,90","0,00","0,00","0,90","1,80","0,45","4,52","1,80","1,80"
Kuraľany,,283,0,45,0,9,2,3,0,0,0,1,182,4,2,1,0,5,3,10,0,0,0,8,0,1,7,0
,,,"0,00","15,90","0,00","3,18","0,70","1,06","0,00","0,00","0,00","0,35","64,31","1,41","0,70","0,35","0,00","1,76","1,06","3,53","0,00","0,00","0,00","2,82","0,00","0,35","2,47","0,00"
Levice,,15 461,37,926,41,501,2 011,1 219,77,3,90,294,5 592,258,55,95,12,1 727,249,88,2,69,23,1 219,18,693,146,16
,,,"0,23","5,98","0,26","3,24","13,00","7,88","0,49","0,01","0,58","1,90","36,16","1,66","0,35","0,61","0,07","11,17","1,61","0,56","0,01","0,44","0,14","7,88","0,11","4,48","0,94","0,10"
Lok,,328,8,12,2,2,9,25,1,0,1,14,152,2,3,3,0,57,6,1,0,1,0,12,0,11,6,0
,,,"2,43","3,65","0,60","0,60","2,74","7,62","0,30","0,00","0,30","4,26","46,34","0,60","0,91","0,91","0,00","17,37","1,82","0,30","0,00","0,30","0,00","3,65","0,00","3,35","1,82","0,00"
Lontov,,190,0,6,1,3,1,5,0,0,1,1,17,0,0,0,0,86,0,0,0,0,0,2,0,67,0,0
,,,"0,00","3,15","0,52","1,57","0,52","2,63","0,00","0,00","0,52","0,52","8,94","0,00","0,00","0,00","0,00","45,26","0,00","0,00","0,00","0,00","0,00","1,05","0,00","35,26","0,00","0,00"
Lula,,91,0,0,0,7,0,1,0,0,1,0,68,0,0,0,0,2,0,10,0,0,0,0,0,2,0,0
,,,"0,00","0,00","0,00","7,69","0,00","1,09","0,00","0,00","1,09","0,00","74,72","0,00","0,00","0,00","0,00","2,19","0,00","10,98","0,00","0,00","0,00","0,00","0,00","2,19","0,00","0,00"
Malé Kozmálovce,,161,1,5,0,4,13,6,1,0,0,7,87,2,0,3,0,18,3,0,0,1,0,6,0,3,0,1
,,,"0,62","3,10","0,00","2,48","8,07","3,72","0,62","0,00","0,00","4,34","54,03","1,24","0,00","1,86","0,00","11,18","1,86","0,00","0,00","0,62","0,00","3,72","0,00","1,86","0,00","0,62"
Malé Ludince,,102,0,0,0,0,0,3,0,0,1,0,7,1,0,1,0,45,1,2,0,0,0,0,0,41,0,0
,,,"0,00","0,00","0,00","0,00","0,00","2,94","0,00","0,00","0,98","0,00","6,86","0,98","0,00","0,98","0,00","44,11","0,98","1,96","0,00","0,00","0,00","0,00","0,00","40,19","0,00","0,00"
Málaš,,200,1,2,4,2,9,2,1,0,3,0,61,0,1,2,0,70,12,0,0,0,0,4,0,23,3,0
,,,"0,50","1,00","2,00","1,00","4,50","1,00","0,50","0,00","1,50","0,00","30,50","0,00","0,50","1,00","0,00","35,00","6,00","0,00","0,00","0,00","0,00","2,00","0,00","11,50","1,50","0,00"
Mýtne Ludany,,338,3,6,0,1,22,11,1,0,0,3,67,0,2,1,0,118,10,0,0,3,0,7,0,82,1,0
,,,"0,88","1,77","0,00","0,29","6,50","3,25","0,29","0,00","0,00","0,88","19,82","0,00","0,59","0,29","0,00","34,91","2,95","0,00","0,00","0,88","0,00","2,07","0,00","24,26","0,29","0,00"
Nová Dedina,,793,2,136,0,54,67,41,4,1,2,24,383,4,12,0,0,13,9,1,1,1,0,29,0,0,8,1
,,,"0,25","17,15","0,00","6,80","8,44","5,17","0,50","0,12","0,25","3,02","48,29","0,50","1,51","0,00","0,00","1,63","1,13","0,12","0,12","0,12","0,00","3,65","0,00","0,00","1,00","0,12"
Nový Tekov,,373,0,20,3,11,31,13,6,0,2,5,184,0,1,4,0,49,10,1,0,0,1,17,0,9,4,2
,,,"0,00","5,36","0,80","2,94","8,31","3,48","1,60","0,00","0,53","1,34","49,32","0,00","0,26","1,07","0,00","13,13","2,68","0,26","0,00","0,00","0,26","4,55","0,00","2,41","1,07","0,53"
Nýrovce,,308,0,3,0,2,13,1,2,0,0,0,21,1,0,1,1,189,2,0,0,0,0,4,0,65,2,1
,,,"0,00","0,97","0,00","0,64","4,22","0,32","0,64","0,00","0,00","0,00","6,81","0,32","0,00","0,32","0,32","61,36","0,64","0,00","0,00","0,00","0,00","1,29","0,00","21,10","0,64","0,32"
Ondrejovce,,164,1,3,1,3,15,7,1,0,0,0,62,1,0,2,0,25,7,1,0,1,0,8,0,22,4,0
,,,"0,60","1,82","0,60","1,82","9,14","4,26","0,60","0,00","0,00","0,00","37,80","0,60","0,00","1,21","0,00","15,24","4,26","0,60","0,00","0,60","0,00","4,87","0,00","13,41","2,43","0,00"
Pastovce,,207,0,2,0,3,10,1,1,0,1,1,16,0,0,0,0,42,0,1,0,0,0,8,0,116,5,0
,,,"0,00","0,96","0,00","1,44","4,83","0,48","0,48","0,00","0,48","0,48","7,72","0,00","0,00","0,00","0,00","20,28","0,00","0,48","0,00","0,00","0,00","3,86","0,00","56,03","2,41","0,00"
Pečenice,,93,0,19,1,1,4,3,1,0,0,3,53,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0
,,,"0,00","20,43","1,07","1,07","4,30","3,22","1,07","0,00","0,00","3,22","56,98","0,00","0,00","0,00","0,00","1,07","0,00","0,00","0,00","0,00","0,00","6,45","0,00","0,00","1,07","0,00"
Plavé Vozokany,,273,2,7,0,29,19,6,1,0,0,4,186,2,0,0,2,2,2,0,0,1,2,6,1,0,1,0
,,,"0,73","2,56","0,00","10,62","6,95","2,19","0,36","0,00","0,00","1,46","68,13","0,73","0,00","0,00","0,73","0,73","0,73","0,00","0,00","0,36","0,73","2,19","0,36","0,00","0,36","0,00"
Plášťovce,,782,2,7,0,7,33,7,0,0,1,4,127,0,1,7,0,259,14,1,0,0,1,4,1,303,2,1
,,,"0,25","0,89","0,00","0,89","4,21","0,89","0,00","0,00","0,12","0,51","16,24","0,00","0,12","0,89","0,00","33,12","1,79","0,12","0,00","0,00","0,12","0,51","0,12","38,74","0,25","0,12"
Podlužany,,410,2,41,8,29,26,18,4,0,1,7,232,7,1,0,0,5,6,9,0,0,0,8,0,0,6,0
,,,"0,48","10,00","1,95","7,07","6,34","4,39","0,97","0,00","0,24","1,70","56,58","1,70","0,24","0,00","0,00","1,21","1,46","2,19","0,00","0,00","0,00","1,95","0,00","0,00","1,46","0,00"
Pohronský Ruskov,,575,0,7,0,8,20,19,3,0,1,1,82,1,0,5,0,172,16,4,0,1,0,4,0,231,0,0
,,,"0,00","1,21","0,00","1,39","3,47","3,30","0,52","0,00","0,17","0,17","14,26","0,17","0,00","0,86","0,00","29,91","2,78","0,69","0,00","0,17","0,00","0,69","0,00","40,17","0,00","0,00"
Pukanec,,943,2,63,2,40,37,30,3,0,6,21,600,15,7,5,3,23,20,3,2,1,0,40,0,0,19,1
,,,"0,21","6,68","0,21","4,24","3,92","3,18","0,31","0,00","0,63","2,22","63,62","1,59","0,74","0,53","0,31","2,43","2,12","0,31","0,21","0,10","0,00","4,24","0,00","0,00","2,01","0,10"
Rybník,,765,1,87,1,49,58,33,1,0,2,16,448,4,10,4,1,7,6,11,0,0,3,17,0,0,5,1
,,,"0,13","11,37","0,13","6,40","7,58","4,31","0,13","0,00","0,26","2,09","58,56","0,52","1,30","0,52","0,13","0,91","0,78","1,43","0,00","0,00","0,39","2,22","0,00","0,00","0,65","0,13"
Santovka,,381,5,29,0,9,20,13,2,0,5,15,218,8,2,6,0,11,10,3,0,1,0,9,0,12,3,0
,,,"1,31","7,61","0,00","2,36","5,24","3,41","0,52","0,00","1,31","3,93","57,21","2,09","0,52","1,57","0,00","2,88","2,62","0,78","0,00","0,26","0,00","2,36","0,00","3,14","0,78","0,00"
Sazdice,,178,1,5,0,2,10,2,0,0,0,1,15,0,0,3,0,47,2,1,0,0,0,1,0,84,4,0
